FID,ICEAREA,H,class_height,class_length
0,83.57022803,2.915595001,Bergy bit,Bergy bit
1,117.6552362,3.038239701,Bergy bit,Bergy bit
2,97.75038293,2.929693809,Bergy bit,Bergy bit
3,181.4250507,3.032147713,Bergy bit,Bergy bit
4,93.76374066,2.961386956,Bergy bit,Bergy bit
5,179.738962,3.030473759,Bergy bit,Bergy bit
6,233203.7199,22.08823915,Medium,Very large
7,2813.190606,4.143737113,Bergy bit,Small
8,61.10838121,2.767998006,Bergy bit,Bergy bit
9,338177.924,49.41507368,Large,Very large
10,131.5510081,2.937642585,Bergy bit,Bergy bit
11,377.7200865,1.558623241,Bergy bit,Small
12,2467.614483,5.889890844,Small,Small
13,3646.653328,6.995220892,Small,Medium
14,1340.19301,4.411048672,Bergy bit,Small
15,4028.414963,7.6343567,Small,Medium
16,3830.00105,4.938514189,Bergy bit,Medium
17,7314.869258,7.436413507,Small,Medium
18,7139.033342,6.425528732,Small,Medium
19,2887.389529,6.221876902,Small,Small
20,9021.478094,7.649720764,Small,Medium
21,236.6989315,4.721664289,Bergy bit,Small
22,45.33211124,2.895778155,Bergy bit,Bergy bit
23,639.9693462,3.475760254,Bergy bit,Small
24,823.0338712,4.977816175,Bergy bit,Small
25,8837.841696,9.497196394,Small,Medium
26,175760.1079,52.5693273,Large,Very large
27,14056.79218,10.57809791,Small,Medium
28,7707.983958,8.07875588,Small,Medium
29,813.345162,4.244135559,Bergy bit,Small
30,1650.517843,5.295711983,Small,Small
31,4037.686583,5.548057727,Small,Medium
32,13589.11095,10.70850512,Small,Medium
33,8595.821397,7.199334001,Small,Medium
34,41273.77701,26.28553479,Medium,Large
35,1598.90096,2.777147199,Bergy bit,Small
36,19873.61977,12.87557873,Small,Large
37,2310.931738,6.652150189,Small,Small
38,776.6844086,4.597072993,Bergy bit,Small
39,3644.038281,7.895927605,Small,Medium
40,1657.685125,3.668647356,Bergy bit,Small
41,3414.472346,3.126093756,Bergy bit,Small
42,16539.07099,10.05105998,Small,Large
43,232.2123289,3.705554004,Bergy bit,Small
44,33420.92197,23.70494046,Medium,Large
45,5835.895202,4.928727585,Bergy bit,Medium
46,4784.667356,8.274184151,Small,Medium
47,366.5752343,2.483365331,Bergy bit,Small
48,2596.770929,5.069634647,Small,Small
49,4128.169579,6.082498376,Small,Medium
50,1477.564765,3.259500577,Bergy bit,Small
51,1213.63636,4.330281412,Bergy bit,Small
52,15707.91228,9.875354633,Small,Large
53,235.5042933,1.904477782,Bergy bit,Small
54,13324.91704,8.130265797,Small,Medium
55,4636.983623,7.801884919,Small,Medium
56,40.0143553,3.099976548,Bergy bit,Bergy bit
57,1476.021659,3.760939138,Bergy bit,Small
58,2260.062301,4.554065462,Bergy bit,Small
59,11369.90958,10.48504413,Small,Medium
60,16286.13,12.19370453,Small,Large
61,8455.470285,5.160026909,Small,Medium
62,66.57553174,3.062862601,Bergy bit,Bergy bit
63,959.9243536,1.986386491,Bergy bit,Small
64,3605.258457,2.933529735,Bergy bit,Medium
65,317.3471207,5.236178408,Small,Small
66,1655.115659,3.758051705,Bergy bit,Small
67,736.8830248,4.899637867,Bergy bit,Small
68,1820.893526,4.919829329,Bergy bit,Small
69,231.0468404,2.392740491,Bergy bit,Small
70,6142.472025,6.41370586,Small,Medium
71,7592.947315,5.569035412,Small,Medium
72,420.6860418,3.380447422,Bergy bit,Small
73,646.2360265,2.61409638,Bergy bit,Small
74,133.1772412,5.025956246,Small,Bergy bit
75,326.638308,1.6808265,Bergy bit,Small
76,450.7119291,2.672785988,Bergy bit,Small
77,857.1156487,2.332618024,Bergy bit,Small
78,429.2145666,4.245193429,Bergy bit,Small
79,3025.084356,3.018978561,Bergy bit,Small
80,4200.978223,6.011539463,Small,Medium
81,71.44977814,3.892230511,Bergy bit,Bergy bit
82,2810.7378,2.424967359,Bergy bit,Small
83,4055.077371,8.354411884,Small,Medium
84,1297.519696,6.179980843,Small,Small
85,204.0221137,3.507540091,Bergy bit,Bergy bit
86,2537.330067,5.887725008,Small,Small
87,5142.000707,7.059402614,Small,Medium
88,776.1986309,2.429498376,Bergy bit,Small
89,633.9336864,5.690553161,Small,Small
90,2035.926632,7.210541849,Small,Small
91,1130.442992,3.32347174,Bergy bit,Small
92,20284.81833,11.89841802,Small,Large
93,10253.17593,8.38490725,Small,Medium
94,1507.877511,2.662617818,Bergy bit,Small
95,55.99048227,3.577498724,Bergy bit,Bergy bit
96,940.8106396,9.304210956,Small,Small
97,151.7671925,6.595895271,Small,Bergy bit
98,2934.037034,8.069966506,Small,Small
99,2251.629596,5.567071904,Small,Small
100,2324.172161,6.957418014,Small,Small
101,2990.340304,7.426771638,Small,Small
102,2016.524409,5.797562212,Small,Small
103,32636.55647,22.8869317,Medium,Large
104,5149.590298,6.805629638,Small,Medium
105,168.1854497,1.687247883,Bergy bit,Bergy bit
106,196.5334755,5.602417883,Small,Bergy bit
107,3780.018736,5.372408429,Small,Medium
108,87.1908308,2.98355178,Bergy bit,Bergy bit
109,1160.683579,2.748537544,Bergy bit,Small
110,607.6072093,4.554893102,Bergy bit,Small
111,753.8150829,1.974976123,Bergy bit,Small
112,2935.592049,4.365942684,Bergy bit,Small
